name,tf_idf_tags_033,033_correct tags,033_sum(tags),tf_idf_tags_050,060_correct tags,060_sum(tags),tf_idf_tags_060,060_correct tags,060_sum(tags),tf_idf_tags_080,080_correct tags,080_sum(tags),hierarchical_cluster_tags,hier_correct_tags,hier_sum_tags,,,,
Veritas NetBackup Client ,",containers,leverage,existing,netbackup,infrastructure,protect,applications,deployed,containerized,client",,,",leverage,existing,netbackup,infrastructure,protect,deployed,containerized,client",,,",leverage,existing,netbackup,infrastructure,protect,deployed,containerized,client",,,",leverage,existing,netbackup",,,",application,app",,,,,,
sonarqube,",open,source,platform,code,sonarqube,continuous,inspection,quality",,,",code,sonarqube,continuous,inspection,quality",,,",code,sonarqube,continuous,inspection,quality",,,",code,sonarqube,continuous,inspection,quality",,,",open,source",,,,,,
crux,",linux,lightweight,distribution,crux,targeted,experienced",,,",linux,lightweight,distribution,crux,targeted,experienced",,,",linux,lightweight,distribution,crux,targeted,experienced",,,",linux,lightweight,distribution,crux,targeted,experienced",,,\N,,,,,,
Presidio API,",api,service,presidio,external,facing",,,",api,service,presidio,external,facing",,,",api,service,presidio,external,facing",,,",api,service,presidio,external,facing",,,",mage,ci",,,,,,
convertigo,",open,source,platform,development,application,mobile,convertigo,mbaas/madp,backend",,,",development,application,mobile,convertigo,mbaas/madp,backend",,,",development,mobile,convertigo,mbaas/madp,backend",,,",convertigo,mbaas/madp,backend",,,\N,,,,,,
hipache,",proxy,distributed,volumes,traffic,hipache,http/websocket,numbers,hosts",,,",proxy,distributed,volumes,traffic,hipache,http/websocket,numbers,hosts",,,",proxy,distributed,volumes,traffic,hipache,http/websocket,numbers,hosts",,,",proxy,volumes,traffic,hipache,http/websocket,numbers,hosts",,,\N,,,,,,
mono,",open,source,net,framework,implementation,mono,microsofts",,,",open,source,net,framework,implementation,mono,microsofts",,,",net,framework,implementation,mono,microsofts",,,",implementation,mono,microsofts",,,",os,ros",,,,,,
Oracle WebLogic Server,",server,oracle,weblogic",,,",server,oracle,weblogic",,,",server,oracle,weblogic",,,",server,oracle,weblogic",,,\N,,,,,,
python,",opensource,programming,language,objectoriented,python,interpreted,interactive",,,",opensource,programming,language,objectoriented,python,interpreted,interactive",,,",opensource,programming,language,objectoriented,python,interpreted,interactive",,,",objectoriented,python,interpreted,interactive",,,",programming,language",,,,,,
Presidio Collector,",presidio,collector",,,",presidio,collector",,,",presidio,collector",,,",presidio,collector",,,\N,,,,,,
PowerShell with Test Dependecies,",azure,systems,ci,test,powershell,dependencies,pipelines!",,,",systems,ci,test,powershell,dependencies,pipelines!",,,",systems,ci,test,powershell,dependencies,pipelines!",,,",systems,ci,test,powershell,dependencies,pipelines!",,,",line,ip",,,,,,
NeuVector Container Security Platform,",containers,build,security,protect,runtime,complete,scan,w/,neuvector,multivector,firewall",,,",security,protect,complete,scan,w/,neuvector,multivector,firewall",,,",protect,scan,w/,neuvector,multivector,firewall",,,,,,",build,ui",,,,,,
Data Studio,",ibm,data,development,environment,integrated,databases,ibmâ®,studio,modular,productive,administration,db2â®",,,",development,environment,integrated,databases,ibmâ®,studio,modular,productive,administration,db2â®",,,",integrated,databases,ibmâ®,studio,modular,productive,administration,db2â®",,,,,,",data,base,database",,,,,,
registry,",storing,registry,implementation,20,distributing",,,",storing,registry,implementation,20,distributing",,,",storing,registry,implementation,20,distributing",,,",storing,registry,implementation,20,distributing",,,\N,,,,,,
BlobCity DB,",acid,sql,blazing,fast,compliant,nosql,datalake,support,storing,17,formats,dml,stored,procedures",,,",acid,blazing,compliant,datalake,17,formats,dml,stored,procedures",,,,,,,,,",data",,,,,,
alpine,",based,linux,minimal,5,complete,package,alpine,index,mb,size!",,,",based,minimal,5,complete,package,alpine,index,mb,size!",,,",minimal,5,complete,package,alpine,index,mb,size!",,,",alpine,index,mb,size!",,,\N,,,,,,
Windows Server Core Insider,",windows,server,core,base,containers,insider",,,",windows,server,core,base,containers,insider",,,",windows,server,core,base,containers,insider",,,",windows,insider",,,",mage,ci",,,,,,
Sysdig Inspect (Open Source Software),",containers,open,source,layer,troubleshoot,visibility,sysdig,inspect,analyze,process",,,",layer,troubleshoot,visibility,sysdig,inspect,analyze,process",,,",layer,troubleshoot,visibility,sysdig,inspect,analyze,process",,,",sysdig,inspect,analyze",,,",open,source",,,,,,
Azure CLI Extension List Publisher,",document,cli,automatically,create,pr,update,listing,available,extensions",,,",document,cli,automatically,create,pr,update,listing,available,extensions",,,",document,cli,automatically,create,pr,update,listing,available,extensions",,,",automatically,create,pr,update,listing,available,extensions",,,",ai",,,,,,
Dockbix - Zabbix agent,",host,linux,support,monitoring,agent,os,dockbix,xxl,zabbix",,,",linux,support,monitoring,agent,os,dockbix,xxl,zabbix",,,",support,monitoring,agent,os,dockbix,xxl,zabbix",,,",agent,dockbix,xxl,zabbix",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Windowscamerateam Onnxconverter,",standalone,converter,convert,ml,models,onnx,format",,,",standalone,converter,convert,ml,models,onnx,format",,,",standalone,converter,convert,ml,models,onnx,format",,,",standalone,converter,convert,ml,models,onnx,format",,,",standalone",,,,,,
azure databricks operator,",kubernetes,operator,submit,jobs,azure,databricks",,,",kubernetes,operator,submit,jobs,databricks",,,",kubernetes,operator,submit,jobs,databricks",,,",kubernetes,operator,submit,jobs,databricks",,,",open,source,pe",,,,,,
jruby,",ruby,implementation,jvm,jruby,http://wwwjrubyorg,http://wwwrubylangorg",,,",ruby,implementation,jvm,jruby,http://wwwjrubyorg,http://wwwrubylangorg",,,",ruby,implementation,jvm,jruby,http://wwwjrubyorg,http://wwwrubylangorg",,,",ruby,implementation,jvm,jruby,http://wwwjrubyorg,http://wwwrubylangorg",,,",http,/",,,,,,
consul,",service,discovery,runtime,orchestration,configuration,consul,datacenter",,,",service,discovery,runtime,orchestration,configuration,consul,datacenter",,,",service,discovery,runtime,orchestration,configuration,consul,datacenter",,,",discovery,orchestration,configuration,consul,datacenter",,,\N,,,,,,
postfixadmin,",based,web,interface,administration,postfix,admin,mail,servers",,,",based,interface,administration,postfix,admin,mail,servers",,,",based,interface,administration,postfix,admin,mail,servers",,,",interface,administration,postfix,admin,mail,servers",,,",os,ros",,,,,,
sl,",containers,scientific,linuxsl",,,",containers,scientific,linuxsl",,,",containers,scientific,linuxsl",,,",containers,scientific,linuxsl",,,",ai",,,,,,
Windows base OS images,",windows,base,product,family,os",,,",windows,base,product,family,os",,,",windows,base,product,family,os",,,",windows,base,product,family,os",,,",mage,ci",,,,,,
swift,",programming,language,swift,highperformance,learn,visit,swiftorg",,,",programming,language,swift,highperformance,learn,visit,swiftorg",,,",programming,language,swift,highperformance,learn,visit,swiftorg",,,",swift,highperformance,learn,visit,swiftorg",,,",programming,language",,,,,,
Software AG API Portal,",api,portal",,,",api,portal",,,",api,portal",,,",api,portal",,,",mage,ci",,,,,,
AppDynamics,",applications,management,distributed,realtime,apm,appdynamics,endtoend,complex",,,",applications,management,distributed,realtime,apm,appdynamics,endtoend,complex",,,",management,distributed,realtime,apm,appdynamics,endtoend,complex",,,",apm,appdynamics,endtoend,complex",,,\N,,,,,,
thrift,",services,client,framework,thrift,generating,idl",,,",services,client,framework,thrift,generating,idl",,,",services,client,framework,thrift,generating,idl",,,",services,client,framework,thrift,generating,idl",,,",client,cli",,,,,,
Oryx node-4.8,",nodejs,host,built,web,artifacts,entry,point,48",,,",nodejs,host,built,artifacts,entry,point,48",,,",48",,,",48",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
powerfulseal,",kubernetes,powerful,tool,testing,clusters",,,",kubernetes,powerful,tool,testing,clusters",,,",kubernetes,powerful,tool,testing,clusters",,,",kubernetes,powerful,tool,testing,clusters",,,",cluster,clusters",,,,,,
Windows Insider,",windows,base,containers,insider",,,",windows,base,containers,insider",,,",windows,base,containers,insider",,,",windows,base,containers,insider",,,",mage,ci",,,,,,
ThingsBoard Professional Edition Web UI Microservice,",edition,thingsboard,content,framework,ui,lightweight,written,component,static,expressjs,professional",,,",ui,component,static,expressjs,professional",,,",static,expressjs,professional",,,,,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
redis,",server,data,functions,open,source,redis,keyvalue,store,structure",,,",functions,redis,keyvalue,store,structure",,,",functions,redis,keyvalue,store,structure",,,",redis,keyvalue,store,structure",,,",open,source",,,,,,
jetty,",server,web,jetty,javaxservlet",,,",server,web,jetty,javaxservlet",,,",server,web,jetty,javaxservlet",,,",server,web,jetty,javaxservlet",,,",ai",,,,,,
IoT Edge OPC UA Client,",server,client,run,opc,ua,operations,able",,,",server,client,run,opc,ua,operations,able",,,",client,run,opc,ua,operations,able",,,",client,run,opc,ua,operations,able",,,",client,cli",,,,,,
Java SE JRE,",microsoft,enterprise,azul,builds,openjdk,zulu,â€�?jre",,,",microsoft,enterprise,azul,builds,openjdk,zulu,â€�?jre",,,",azul,builds,openjdk,zulu,â€�?jre",,,",jre",,,",os,ros",,,,,,
IoT Edge OPC Publisher Diagnostics,",opc,tool,diagnostic",,,",opc,tool,diagnostic",,,",opc,tool,diagnostic",,,",opc,tool,diagnostic",,,\N,,,,,,
Oryx node-8.0,",nodejs,host,built,web,artifacts,entry,point,80",,,",nodejs,host,built,artifacts,entry,point,80",,,",80",,,",80",,,\N,,,,,,
blobxfer,",data,azure,storage,tool,transfer,movement,library",,,",data,storage,tool,transfer,movement,library",,,",storage,tool,transfer,movement,library",,,",transfer,movement,library",,,",data",,,,,,
rethinkdb,",database,opensource,build,easy,scale,apps,realtime,rethinkdb,document",,,",database,build,easy,scale,apps,realtime,rethinkdb,document",,,",easy,scale,apps,realtime,rethinkdb,document",,,",scale,rethinkdb",,,",data,base,database",,,,,,
Playfab Multiplayer,",platform,development,playfab,multiplayer,game,local,debugging",,,",platform,development,playfab,multiplayer,game,local,debugging",,,",development,playfab,multiplayer,game,local,debugging",,,",development,playfab,multiplayer,game,local,debugging",,,",platform",,,,,,
AI for Earth Base R,",base,ai,earth",,,",base,ai,earth",,,",base,ai,earth",,,",base,ai,earth",,,",mage,ci",,,,,,
celery,",based,source,distributed,message,celery,asynchronous,task,queue/job,queue,passing",,,",based,message,celery,asynchronous,task,queue/job,queue,passing",,,",message,celery,asynchronous,task,queue/job,queue,passing",,,",celery,asynchronous,task,queue/job,queue,passing",,,",base,based",,,,,,
express-gateway,",api,gateway,apis,microservices,express",,,",api,gateway,apis,microservices,express",,,",api,gateway,apis,microservices,express",,,",api,gateway,apis,microservices,express",,,\N,,,,,,
Azure Cognitive Services luis,",azure,cognitive,services,language,understanding",,,",azure,cognitive,services,language,understanding",,,",cognitive,services,language,understanding",,,",cognitive,services,language,understanding",,,",mage,ci",,,,,,
znc,",znc,advanced,irc,bouncer",,,",znc,advanced,irc,bouncer",,,",znc,advanced,irc,bouncer",,,",znc,advanced,irc,bouncer",,,",-",,,,,,
storm,",free,open,source,apache,distributed,storm,realtime,computation",,,",free,apache,distributed,storm,realtime,computation",,,",apache,distributed,storm,realtime,computation",,,",storm,computation",,,",open,source",,,,,,
arangodb,",database,data,distributed,documents,graphs,arangodb,flexible,model,keyvalues",,,",database,distributed,documents,graphs,arangodb,flexible,model,keyvalues",,,",documents,graphs,arangodb,flexible,model,keyvalues",,,",documents,graphs,arangodb,flexible,model,keyvalues",,,",data,base,database",,,,,,
Azureml Base,",base,learning,azure,machine,cpu",,,",base,learning,azure,machine,cpu",,,",base,learning,machine,cpu",,,",base,learning,machine,cpu",,,",mage,ci",,,,,,
.NET Core SDK,",core,net,sdk",,,",core,net,sdk",,,",core,net,sdk",,,",core,net,sdk",,,",mage,ci",,,,,,
K8s Aad Pod Identity Demo,",kubernetes,applications,app,assign,aad,identities,demo",,,",kubernetes,applications,app,assign,aad,identities,demo",,,",kubernetes,applications,app,assign,aad,identities,demo",,,",app,assign,aad,identities,demo",,,",application,app",,,,,,
PowerShell,",powershell,system!",,,",powershell,system!",,,",powershell,system!",,,",powershell,system!",,,\N,,,,,,
php,",language,generalpurpose,web,development,php,designed,scripting",,,",language,generalpurpose,web,development,php,designed,scripting",,,",language,generalpurpose,development,php,designed,scripting",,,",generalpurpose,development,php,designed,scripting",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
mediawiki,",free,software,open,source,php,written,mediawiki,wiki,package",,,",free,software,php,written,mediawiki,wiki,package",,,",php,written,mediawiki,wiki,package",,,",mediawiki,wiki,package",,,",open,source",,,,,,
Azure Industrial Blob upload notification router,",router,azure,blob,industrial,contains,upload,notification",,,",router,blob,industrial,contains,upload,notification",,,",router,blob,industrial,contains,upload,notification",,,",router,blob,upload,notification",,,",ai",,,,,,
pypy,",language,alternative,python,fast,compliant,implementation,pypy",,,",language,alternative,python,fast,compliant,implementation,pypy",,,",language,alternative,python,fast,compliant,implementation,pypy",,,",alternative,python,fast,compliant,implementation,pypy",,,",native,alt",,,,,,
Discourse,",built,open,source,platform,internet,discourse,100%,discussion,decade",,,",internet,discourse,100%,discussion,decade",,,",internet,discourse,100%,discussion,decade",,,",internet,discourse,100%,discussion,decade",,,\N,,,,,,
"SAP HANA, express edition (database services)",",platform,inmemory,business,digital,transformation",,,",platform,inmemory,business,digital,transformation",,,",platform,inmemory,business,digital,transformation",,,",inmemory,business,digital,transformation",,,\N,,,,,,
Acoustics Baketools,",project,tools,acoustics,bake",,,",project,tools,acoustics,bake",,,",project,tools,acoustics,bake",,,",project,tools,acoustics,bake",,,",mage,ci",,,,,,
An OPC Twin React based Sample UI,",sample,based,ui,contains,opc,twin,react",,,",sample,based,ui,contains,opc,twin,react",,,",sample,based,ui,contains,opc,twin,react",,,",sample,ui,twin,react",,,\N,,,,,,
Oryx node-9.4,",nodejs,host,built,web,artifacts,entry,point,94",,,",nodejs,host,built,artifacts,entry,point,94",,,",94",,,",94",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
MediaAgent,",commvault,mediaagent",,,",commvault,mediaagent",,,",commvault,mediaagent",,,",commvault,mediaagent",,,\N,,,,,,
Puppet Agent Ubuntu,",server,infrastructure,framework,puppet,automation,manage,configuration",,,",server,infrastructure,framework,puppet,automation,manage,configuration",,,",infrastructure,framework,puppet,automation,manage,configuration",,,",infrastructure,puppet,automation,manage,configuration",,,",server",,,,,,
HPE Volume Driver for Kubernetes FlexVolume Plugin,",storage,driver,hpe,flexvolume,platforms",,,",storage,driver,hpe,flexvolume,platforms",,,",storage,driver,hpe,flexvolume,platforms",,,",storage,driver,hpe,flexvolume,platforms",,,",platform",,,,,,
IoT Edge OPC Publisher Nodeconfiguration,",opc,tool,nodes,configure,remotely",,,",opc,tool,nodes,configure,remotely",,,",opc,tool,nodes,configure,remotely",,,",opc,tool,nodes,configure,remotely",,,",data",,,,,,
Nano Server Insider,",server,base,containers,nano,insider",,,",server,base,containers,nano,insider",,,",server,base,containers,nano,insider",,,",base,containers,nano,insider",,,",mage,ci",,,,,,
Datadog Agent,",application,metrics,visualization,tracking,agent,operating,realtime,performance,datadog",,,",application,metrics,visualization,tracking,agent,operating,realtime,performance,datadog",,,",metrics,visualization,tracking,agent,operating,realtime,performance,datadog",,,",tracking,datadog",,,",application,app",,,,,,
IBM Security Information Queue,",ibm,security,messaging,integrate,kafkabased,bus,products",,,",ibm,security,messaging,integrate,kafkabased,bus,products",,,",ibm,security,messaging,integrate,kafkabased,bus,products",,,",security,messaging,integrate,kafkabased,bus,products",,,",base,based",,,,,,
ThingsBoard Professional Edition Node Microservice,",api,service,thingsboard,pe,engine,responsible,handling,rest,websockets,processing,rule",,,",responsible,handling,rest,websockets,rule",,,,,,,,,",platform",,,,,,
Auditbeat,",data,lightweight,shipper,audit",,,",data,lightweight,shipper,audit",,,",data,lightweight,shipper,audit",,,",data,lightweight,shipper,audit",,,",shipper,ship,ip",,,,,,
IBM Voice Gateway,",ibm,gateway,voice",,,",ibm,gateway,voice",,,",ibm,gateway,voice",,,",ibm,gateway,voice",,,\N,,,,,,
IBM Tivoli Netcool/OMNIbus Probe for Email,",ibm,tivoli,netcool/omnibus,probe,email",,,",ibm,tivoli,netcool/omnibus,probe,email",,,",ibm,tivoli,netcool/omnibus,probe,email",,,",ibm,tivoli,netcool/omnibus,probe,email",,,",mage,ci",,,,,,
Azure Functions as an Event Grid EventHandler on IoT Edge,",edge,azure,iot,functions,event,grid,eventhandler",,,",edge,iot,functions,event,grid,eventhandler",,,",edge,iot,functions,event,grid,eventhandler",,,",functions,event,grid,eventhandler",,,\N,,,,,,
Azure IoT Edge Hub,",core,edge,azure,iot,runtime,hub,component",,,",core,edge,iot,runtime,hub,component",,,",core,edge,iot,runtime,hub,component",,,",edge,iot,hub,component",,,",run",,,,,,
K8s Aad Pod Identity Nmi,",kubernetes,applications,assign,aad,identities,managed,node,identitynmi",,,",kubernetes,applications,assign,aad,identities,managed,node,identitynmi",,,",kubernetes,assign,aad,identities,managed,node,identitynmi",,,",assign,aad,identities,managed,node,identitynmi",,,",application,app",,,,,,
Mcr Hello World,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,\N,,,,,,
Azure IoT Edge Simulated Temperature Sensor,",edge,iot,module,sample,periodically,simulated,temperature,readings",,,",edge,iot,module,sample,periodically,simulated,temperature,readings",,,",module,sample,periodically,simulated,temperature,readings",,,",periodically,simulated,temperature,readings",,,",module,reading",,,,,,
sourcemage,",source,distribution,flexibility,mage,sourcebased,gnu/linux,maximum,customization",,,",distribution,flexibility,mage,sourcebased,gnu/linux,maximum,customization",,,",distribution,flexibility,mage,sourcebased,gnu/linux,maximum,customization",,,",flexibility,mage,sourcebased,gnu/linux,maximum,customization",,,",base,based",,,,,,
maven,",software,project,management,apache,maven,comprehension,tool",,,",software,project,management,apache,maven,comprehension,tool",,,",software,project,management,apache,maven,comprehension,tool",,,",project,maven,comprehension",,,",management,manage",,,,,,
Oryx node-8.8,",nodejs,host,built,web,artifacts,entry,point,88",,,",nodejs,host,built,artifacts,entry,point,88",,,",88",,,",88",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
groovy,",language,platform,apache,java,groovy,multifaceted",,,",language,platform,apache,java,groovy,multifaceted",,,",language,platform,apache,java,groovy,multifaceted",,,",apache,java,groovy,multifaceted",,,",platform",,,,,,
Oryx node-6.6,",nodejs,host,built,web,artifacts,entry,point,66",,,",nodejs,host,built,artifacts,entry,point,66",,,",66",,,",66",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
joomla,",open,source,content,management,joomla!",,,",open,source,content,management,joomla!",,,",open,source,content,management,joomla!",,,",content,management,joomla!",,,",open,source",,,,,,
yourls,",run,php,yourls,set,scripts,allow,url,shortener",,,",run,php,yourls,set,scripts,allow,url,shortener",,,",run,php,yourls,set,scripts,allow,url,shortener",,,",run,yourls,set,scripts,allow,url,shortener",,,",run",,,,,,
IBM Security Access Manager,",ibm,security,management,access,manager,solution,deploys,simplified,enterprises,defend,threat,vulnerabilities",,,",security,access,manager,solution,deploys,simplified,enterprises,defend,threat,vulnerabilities",,,",access,manager,deploys,simplified,enterprises,defend,threat,vulnerabilities",,,",access",,,",management,manage",,,,,,
IBM Db2 Warehouse,",ibm,family,db2",,,",ibm,family,db2",,,",ibm,family,db2",,,",ibm,family,db2",,,\N,,,,,,
APM Server,",server,application,monitoring,performance",,,",server,application,monitoring,performance",,,",server,application,monitoring,performance",,,",server,application,monitoring,performance",,,\N,,,,,,
Azure CLI,",azure,generation,multiplatform,command,line,experience",,,",generation,multiplatform,command,line,experience",,,",generation,multiplatform,command,line,experience",,,",generation,multiplatform,command,line,experience",,,",platform",,,,,,
.NET Core Samples,",core,applications,sample,net,aspnet,illustrating,containerize",,,",core,applications,sample,net,aspnet,illustrating,containerize",,,",core,applications,sample,net,aspnet,illustrating,containerize",,,",core,sample,aspnet,illustrating,containerize",,,",application,app",,,,,,
Java SE JDK and Maven,",microsoft,enterprise,azul,builds,openjdk,maven,zulu,â€�?jdk",,,",microsoft,azul,builds,openjdk,maven,zulu,â€�?jdk",,,",azul,builds,maven,zulu,â€�?jdk",,,,,,\N,,,,,,
AKS - Azure voting multi-container application,",kubernetes,tutorial,docsmicrosoftcom",,,",kubernetes,tutorial,docsmicrosoftcom",,,",kubernetes,tutorial,docsmicrosoftcom",,,",kubernetes,tutorial,docsmicrosoftcom",,,",os,ros",,,,,,
Azure Stream Analytics Azureiotedge,",azure,analytics,stream,iotedge",,,",azure,analytics,stream,iotedge",,,",azure,analytics,stream,iotedge",,,",azure,analytics,stream,iotedge",,,\N,,,,,,
