9,glassfish,",implementation,java,ee,glassfish,reference",,"language,full javaee application server,service,closed vowel,sound,programming language,open source software,enterprise service bus solution,activity,combination,digraph,interjection","language,full javaee application server,service,programming language,open source software,enterprise service bus solution,activity,combination",8,11,"language,full javaee application server,service,programming language,open source software,enterprise service bus solution,activity,combination",8,10,"language,full javaee application server,service,programming language,open source software,enterprise service bus solution,activity",7,9,"language,full javaee application server,service,programming language,open source software,enterprise service bus solution",6,8,"language,full javaee application server,service,programming language,open source software",5,7,"language,full javaee application server,service",3,6,"language,full javaee application server,service",3,5,"language,full javaee application server,service",3,4,"language,full javaee application server,service",3,3,
10,Weave Cloud Agent,",containers,cloud,code,fast,focus,developers,monitor,manage,writing,weave,visualize,enabling",,"technology,movie,role,device,skill,protective style,activity,stakeholder","technology,role,device,protective style,activity",5,8,"technology,role,device,protective style,activity",5,8,"technology,role,device,protective style,activity",5,8,"technology,role,device,protective style,activity",5,8,"technology,role,device,protective style,activity",5,7,"technology,role,device,protective style",4,6,"technology,role,device",3,5,"technology,role,device",3,4,"technology,role",2,3,
11,Software AG ARIS Connect,",software,ag,aris,connect",,"metal,technology tool,industry,tool,epc based tool,system,default mirc button,element,unisex name","technology tool,industry,tool,epc based tool,system,element,unisex name",6,9,"technology tool,industry,tool,epc based tool,system,element,unisex name",6,9,"technology tool,industry,tool,epc based tool,system,element,unisex name",6,9,"technology tool,industry,tool,epc based tool,system,element",5,8,"technology tool,industry,tool,epc based tool,system",4,7,"technology tool,industry,tool,epc based tool,system",4,6,"technology tool,industry,tool,epc based tool",3,5,"technology tool,industry,tool,epc based tool",3,4,"technology tool,industry,tool,epc based tool",2,3,
12,websphere-liberty,",ibm,server,application,websphere,developers,liberty",",mage,ci","class,token element,application server,role,device,stakeholder,value,factor,j2ee compliant application server,topic","class,token element,application server,role,device,value,factor,j2ee compliant application server",8,10,"class,token element,application server,role,device,value,factor,j2ee compliant application server",8,10,"class,token element,application server,role,device,value,concept,factor",8,9,"class,token element,application server,role,device,value,concept",7,8,"class,token element,application server,role,device,value",6,7,"class,token element,application server,role,device",5,6,"class,token element,application server,role,device",5,5,"class,token element,application server,role",4,4,"class,token element,application server",3,3,
13,Azure Cognitive Services Language,",azure,cognitive,services,language,detection",",mage,ci","factor,class,application,service,cloud provider,symptom,sector,cloud platform,industry","factor,class,application,service,cloud provider,cloud platform,industry",7,9,"factor,class,application,service,cloud provider,cloud platform,industry",7,9,"factor,class,application,service,cloud provider,cloud platform,industry",7,9,"factor,class,application,service,cloud provider,cloud platform",6,8,"factor,class,application,service,cloud provider",5,7,"factor,class,application,service,cloud provider",5,6,"factor,class,application,service,cloud provider",5,5,"factor,class,application,service",4,4,"factor,class,application",3,3,
14,logstash,",events,tool,logstash,managing,logs",",tool","material,task,obstacle,activity,fish habitat component,service,skill","material,task,activity,service,skill",5,7,"material,task,activity,service,skill",5,7,"material,task,activity,service,skill",5,7,"material,task,activity,service,skill",5,7,"material,task,activity,service,skill",5,7,"material,task,activity,service",4,6,"material,task,activity",4,5,"material,task,activity",3,4,"material,task,activity",2,3,
15,ubuntu-debootstrap,",/,debootstrap,variant=minbase,components=mainuniverse,include=inetutilspingiproute2,<suite>",",base,based","framework function,outstanding residence hall option,long term accommodation option,adequate suitable clothing,non wysiwis system,accommodation choice,street information,room type,location,accommodation option",framework function,1,11,framework function,1,10,framework function,1,9,framework function,1,8,framework function,1,7,framework function,1,6,framework function,1,5,framework function,1,4,framework function,1,3,
16,GoAnywhere MFT,",goanywhere,simplifies,secures,automates,critical,file,transfers,centralized,enterpriselevel,approach",",app","skill,personnel action,painting,gene,factor,feature,knob,network model,london dining hotspot,greek language word","skill,factor,feature,knob,network model",5,11,"skill,factor,feature,knob,network model",5,10,"skill,factor,feature,knob,network model",5,9,"skill,factor,feature,knob,network model",5,8,"skill,factor,feature,knob",4,7,"skill,factor,feature",3,6,"skill,factor,feature",2,5,skill,1,4,skill,1,3,
17,PowerShell with Test Dependecies,",azure,systems,ci,test,powershell,dependencies,pipelines!",",line,ip","protocol,token element,structure,assessment,command line interface,feature,cloud provider,tool,cloud platform,language,factor","protocol,token element,structure,command line interface,feature,cloud provider,tool,cloud platform,language",9,11,"protocol,token element,structure,command line interface,feature,cloud provider,tool,cloud platform,language",9,10,"protocol,token element,structure,command line interface,feature,cloud provider,tool,cloud platform",8,9,"protocol,token element,structure,command line interface,feature,cloud provider,tool",7,8,"protocol,token element,structure,command line interface,feature,cloud provider",6,7,"protocol,token element,structure,command line interface,feature",5,6,"protocol,token element,structure,command line interface",4,5,"protocol,token element,structure",3,4,"protocol,token element,structure",3,3,
18,couchbase,",server,database,distributed,nosql,document,couchbase,architecture",",data,base,database","application,adjective,resource,file,device,field,service,discipline,bundle,tool,profession","application,adjective,resource,file,device,field,service,discipline,bundle,tool",10,11,"application,adjective,resource,file,device,field,service,discipline,bundle,tool",10,10,"application,adjective,resource,file,device,field,service,discipline,bundle",9,9,"application,adjective,resource,file,device,field,service,discipline",8,8,"application,adjective,resource,file,device,field,service",7,7,"application,adjective,resource,file,device,field",6,6,"application,adjective,resource,file,device",5,5,"application,adjective,resource,file",4,4,"application,adjective,resource",3,3,
19,erlang,",erlang,programming,language,build,massively,scalable,systems,availability",",build,ui","factor,language,application,challenge,field,marketing discipline,skill,service,tangible asset,area","factor,language,application,challenge,field,skill,service",7,10,"factor,language,application,challenge,field,skill,service",7,10,"factor,language,application,challenge,field,skill,service",7,9,"factor,language,application,challenge,field,skill,service",7,8,"factor,language,application,challenge,field,skill",6,7,"factor,language,application,challenge,field",5,6,"factor,language,application,challenge,field",5,5,"factor,language,application,challenge",4,4,"factor,language,application",3,3,
20,consul,",service,discovery,runtime,orchestration,configuration,consul,datacenter",,"entity,computational cost,channel,service instance,object,official,service,service discovery tool,sector,factor,task characteristic estimation","entity,computational cost,channel,service instance,object,official,service,service discovery tool,factor",9,11,"entity,computational cost,channel,service instance,object,official,service,service discovery tool,factor",9,10,"entity,computational cost,channel,service instance,object,official,service,service discovery tool",8,9,"entity,computational cost,channel,service instance,object,official,service,service discovery tool",8,8,"entity,computational cost,channel,service instance,object,official,service",7,7,"entity,computational cost,channel,service instance,object,official",6,6,"entity,computational cost,channel,service instance,object",5,5,"entity,computational cost,channel,service instance",4,4,"entity,computational cost,channel,service instance",3,3,
21,.NET Core Runtime (Preview),",core,net,runtime,preview",",mage,ci","class,feature,token element,computational cost,equipment,component,solution concept,fabric,factor,task characteristic estimation,mass spectrometry technique,element","class,feature,token element,computational cost,equipment,component,solution concept,factor",8,11,"class,feature,token element,computational cost,equipment,component,solution concept,factor",8,10,"class,feature,token element,computational cost,equipment,component,solution concept,factor",8,9,"class,feature,token element,computational cost,equipment,component,solution concept",7,8,"class,feature,token element,computational cost,equipment,component,solution concept",7,7,"class,feature,token element,computational cost,equipment,component",6,6,"class,feature,token element,computational cost,equipment",5,5,"class,feature,token element,computational cost",4,4,"class,feature,token element",3,3,
22,Mcr Hello World Nireissssssss,",testing,mcr,customer",",customer,custom","stakeholder,factor,band,service,external stakeholder,mitochondrial locus,area,traffic parameter,topic,rock 
band,music","factor,service,traffic parameter",3,11,"factor,service,traffic parameter",3,10,"factor,service,traffic parameter",3,9,"factor,service,traffic parameter",3,8,"factor,service",2,7,"factor,service",2,6,"factor,service",2,5,"factor,service",2,4,factor,1,3,
23,couchdb,",database,api,couchdb,json,documents,http,javascript/declarative,indexing",",data,base,database","protocol,application,file,document database,nosql database,format,service","protocol,application,file,document database,nosql database,format,service",7,7,"protocol,application,file,document database,nosql database,format,service",7,7,"protocol,application,file,document database,nosql database,format,service",7,7,"protocol,application,file,document database,nosql database,format,service",7,7,"protocol,application,file,document database,nosql database,format,service",7,7,"protocol,application,file,document database,nosql database,format",6,6,"protocol,application,file,document database,nosql database",5,5,"protocol,application,file,document database",4,4,"protocol,application,file",3,3,
24,Skaffolder Enterprise,",languages,programming,code,apps,tool,codegenerator,companies,create,custom,highquality",",programming,language","datum,organization,factor,subject,entity,topic,technology,gene,area,skill,area","datum,organization,factor,subject,entity,topic,technology,area,skill",9,11,"datum,organization,factor,subject,entity,topic,technology,area,skill",9,10,"datum,organization,factor,subject,entity,topic,technology,area",8,9,"datum,organization,factor,subject,entity,topic,technology",7,8,"datum,organization,factor,subject,entity,topic",6,7,"datum,organization,factor,subject,entity,topic",6,6,"datum,organization,factor,subject,entity",5,5,"datum,organization,factor,subject",4,4,"datum,organization,factor",3,3,
25,nuxeo,",open,source,nuxeo,content,management,platform,completely,customizable",",open,source","user friendly tool,structure,factor,area,ecm platform,open source vendor, vendor","user friendly tool,structure,factor,area,ecm platform,open source vendor,vendor",7,7,"user friendly tool,structure,factor,area,ecm platform,open source vendor,vendor",7,7,"user friendly tool,structure,factor,area,ecm platform,open source vendor,vendor",7,7,"user friendly tool,structure,factor,area,ecm platform,open source vendor,vendor",7,7,"user friendly tool,structure,factor,area,ecm platform,open source vendor,vendor",7,7,"user friendly tool,structure,factor,area,ecm platform,open source vendor",6,6,"user friendly tool,structure,factor,area,ecm platform",5,5,"user friendly tool,structure,factor,area",4,4,"user friendly tool,structure,factor",3,3,
26,azure databricks operator,",kubernetes,operator,submit,jobs,azure,databricks",",open,source,pe","button,polymer,service,cloud provider,factor,vague or ambiguous word,material,user,cloud platform,subject,class","service,cloud provider,factor,user,cloud platform",5,11,"service,cloud provider,factor,user,cloud platform",5,10,"service,cloud provider,factor,user,cloud platform",5,9,"service,cloud provider,factor,user",4,8,"service,cloud provider,factor",3,7,"service,cloud provider,factor",3,6,"service,cloud provider,factor",3,5,"service,cloud provider",2,4,service,1,3,
27,AI for Earth Blob Python,",blob,python,ai,earth,mount",\N,"language,game,planet,local image feature,game feature,waterfront activity,large object,inert material,absorbent material,cricket club,element,programming language","language,local image feature",2,11,"language,local image feature",2,10,"language,local image feature",2,9,"language,local image feature",2,8,"language,local image feature",2,7,"language,local image feature",2,6,"language,local image feature",2,5,"language,local image feature",2,4,language,1,3,
28,neo4j,",database,native,scalable,highly,neo4j,robust,graph",",data,base,database","application,graph database,application,technical material,visual aid,challenge,method,feature,service","application,graph database,application,technical material,visual aid,challenge,method,feature,service",9,9,"application,graph database,application,technical material,visual aid,challenge,method,feature,service",9,9,"application,graph database,application,technical material,visual aid,challenge,method,feature,service",9,9,"application,graph database,application,technical material,visual aid,challenge,method,feature",8,8,"application,graph database,application,technical material,visual aid,challenge,method",7,7,"application,graph database,application,technical material,visual aid,challenge,method",6,6,"application,graph database,application,technical material,visual aid,challenge",5,5,"application,graph database,application,technical material,visual aid",4,4,"application,graph database,application,technical material",3,3,
29,Acoustics Baketools,",project,tools,acoustics,bake",",mage,ci","class,token element,function,factor,field,cooking option,mass spectrometry technique,cooking method,stall,technology,method","class,token element,function,factor,field,technology",6,11,"class,token element,function,factor,field,technology",6,10,"class,token element,function,factor,field",5,9,"class,token element,function,factor,field",5,8,"class,token element,function,factor,field",5,7,"class,token element,function,factor,field",5,6,"class,token element,function,factor,field",5,5,"class,token element,function,factor",4,4,"class,token element,function",3,3,
30,Dynatrace,",applications,monitoring,clusters,dockerized,box",",application,app","gene,activity,application,factor,topic,object,structure,document","activity,application,factor,object,structure",5,8,"activity,application,factor,object,structure",5,8,"activity,application,factor,object,structure",5,8,"activity,application,factor,object,structure",5,8,"activity,application,factor,object,structure",5,7,"activity,application,factor,object",4,6,"activity,application,factor",3,5,"activity,application,factor",3,4,"activity,application",2,3,
SUM,,,,,,196,291,,194,277,,186,259,,172,236,,154,210,,133,180,,114,150,,94,120,,71,90,
TOP 30ÏîÊä³öÍ³¼Æ½áÊø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,mongo-express,",nodejs,written,interface,mongodb,admin,webbased,express",\N,",nosql database,store,network share,concept,newspaper,more experienced user,company,technology,factor,paper,database,feature,role",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,nats-streaming,",opensource,cloud,native,messaging,highperformance,streaming,nats",",open,source",",technology,term,homeopathic ingredient,service,service,application,application,advanced topic,middleboxes,on path network element,trend,sociolinguistic process variable,feature",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,streams,",elasticsearch,realtime,streaming",",search,arch",",feature,service,application,structure,feature,application,online activity,function,practice,operation,shape,advanced visualisation software,gold medalist quartet",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,java,",programming,language,objectoriented,java,concurrent,classbased",\N,",architectural pattern,force system,language,factor,programming language,area,skill,service,information,issue,psychometric property,subject,subject",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Filebeat,",lightweight,shipper,logs",",shipper,ship,ip",",person,information,protocol,vehicle,feature,advantage,structure,material,traditional logistic actor,obstacle,fish habitat component,information,load",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NeuVector Container Security Platform,",containers,build,security,protect,runtime,complete,scan,w/,neuvector,multivector,firewall",",build,ui",",issue,test,factor,computational cost,term,spell,field,marketing discipline,computer safeguard,screening method,biologically active molecule,technology,security measure",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ThingsBoard Professional Edition Web UI Microservice,",edition,thingsboard,content,framework,ui,lightweight,written,component,static,expressjs,professional",",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",",factor,factor,product,source,technology,technology,graphic organizer,feature,feature,character,resource,advantage,open source software component",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Presidio Recognizers Store,",presidio,store,custom,recognizers,manages",",customer,custom",",factor,stakeholder,factor,area,site,building,place,area,business,common objective element,cost,topic,facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Db2 Developer-C Edition,",free,version,developers,environments,feature,nonproduction,ideal",",developers,dev,developer,free,product,version,environment,feature,non-production,environments.,developers.,production,environments",",factor,factor,role,information,stakeholder,professional,factor,factor,role,role,information,non production environment,necessity",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Presidio API,",api,service,presidio,external,facing",",mage,ci",",factor,class,product,area,area,site,pattern piece,sector,feature,permanent fixture,llc event,applicationspecific word,industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Data Accelerator,",contains,local,experience,https://githubcom/microsoft/dataaccelerator",",os,ros",",factor,protocol,short hand,character,sensor,schematic model,constant epitope,term,stakeholder,antigen,letter,service,service",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,jobber,",jobber,alternative,cron,sophisticated,statusreporting,errorhandling",",native,alt",",job scheduler,enzyme,term,drill,image,design,word,multidisciplinary management,name,biochemical parameter,owner,issue,risk asset",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Java SE JDK and Maven,",microsoft,enterprise,azul,builds,openjdk,maven,zulu,Ã¢â‚¬â€?jdk",\N,",shopping tool,airline,java development package,language,company,company,organization,tool,tool,java runtime,car rental company,film,ethnic group",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Citrix ADC CPX Express Rel 13.0,",host,application,citrix,adc,cpx,containerbased,delivery,controller,provisioned",",os,ros",",factor,analog input function,short hand,service,company,vendor,component,interconnection mechanism,character,sensor,schematic model,information,information",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Blockbridge Volume Plugin for Kubernetes (CSI Driver),",kubernetes,enterprise,storage,blockbridge,volume,plugin,persistent,secure,multitenant,30,orchestrator",",volume,mount,secure",",factor,parameter,popular tool,oracle database option,product,symptom,web page,web page,factor,factor,advantage,information,game",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,IBM WebSphere Application Server Liberty,",ibm,server,application,websphere,liberty,certified",",mage,ci",",class,company,token element,application server,service,feature,device,value,concept,factor,j2ee compliant application server,information,topic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Oryx node-8.11,",nodejs,host,built,web,artifacts,entry,point,811",",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",",source,technology,technology,graphic organizer,feature,word,program,issue,factor,factor,factor,secondary source,object",,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Anaconda,",data,open,platform,python,anaconda,leading,science,powered",",data",",service,word,bundle,language,directional term,concept,component,subject,structure,snake,snake,word,product",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,IoT Edge OPC Proxy module,",edge,azure,iot,module,proxy,industrial,contains,opc",",ai",",intermediary,application,technology,technology,graphic format,term,musician,industry,sector,service,cloud provider,photosensitive material,image feature",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,elasticsearch,",data,elasticsearch,powerful,open,source,search,analytics,engine,easy,explore",",open,source",",component,component,technology,word,tab,feature,operator,part,service,service,bundle,application,everyday business need",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370447307,Packetbeat,",data,lightweight,shipper,network",",shipper,ship,ip",",person,protocol,vehicle,feature,advantage,service,structure,word,bundle,interconnection mechanism,resource,professional,factor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30253573,OmniSci Open Source Edition 4.8,",data,big,analytics,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",",data",",factor,brand,technique,technology,parameter,relaxation technique,service,company,word,bundle,everyday business need,information,issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.341793763,tomcat,",open,source,apache,tomcat,implementation,java,servlet,javaserver,pages,technologies",",open,source",",web server,application,language,factor,service,service,technology,technology,web component,servlet container,issue,application server,programming language",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.952770305,AI for Earth Base R,",base,ai,earth",",mage,ci",",class,token element,graphic format,musician,planet,inert material,absorbent material,element,mass spectrometry technique,material,character,invertebrate gli homolog,reactive element",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.082569906,Azure Functions as an Event Grid EventHandler on IoT Edge,",edge,azure,iot,functions,event,grid,eventhandler",\N,",topic,information,information,system,technology,technology,cloud provider,image feature,cloud platform,environment,activity,service,service",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.857626278,Windows IoT Core,",windows,core,base,containers,iot",",mage,ci",",component,class,technology,element,item,feature,solution concept,opening,transparent conductor layer,application,damage,area,transparent conductive layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.311872187,varnish,",apis,dynamic,web,http,designed,varnish,accelerator,contentheavy,sites",\N,",factor,factor,protocol,additive,graphic organizer,feature,topic,coating,bee,ingredient,homeopathic spagyric herb,material,technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.185044651,Azure Stream Analytics Azureiotedge,",azure,analytics,stream,iotedge",\N,",technology,surface water,service,cloud provider,everyday business need,cloud platform,natural feature,water,feature,feature,digital technology,cloud service,water source",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720993276,storm,",free,open,source,apache,distributed,storm,realtime,computation",",open,source",",web server,natural disaster,resource,extreme weather event,concept,operation,application,event,application,project,advanced visualisation software,gold medalist quartet,natural event",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029473612,Azure Industrial OPC Graph processor microservice,",microservice,azure,industrial,contains,opc,graph,processor",",os,ros",",component,short hand,industry,sector,visual aid,method,service,cloud provider,character,sensor,schematic model,photosensitive material,resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.273567996,Arista and Docker Container Tracer,",integration,workloads,document,describes,arista,eos,cloudvision,enhanced,visibility",",load,workloads,document",",factor,issue,factor,factor,dispersion parameter,file,file,vendor,parameter,label,latest volkswagen,term,issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.901197913,Samples Ml Mssql Image Classifier,",data,deployed,sample,project,consumes,app,sql,big,cluster,ctp,21",",app",",gene,shop,preference variable,object,parameter,language,modern control boxes,service,word,bundle,term,query language,latest facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.706300721,Windows Insider,",windows,base,containers,insider",",mage,ci",",class,token element,movie,item,feature,opening,party,film,mass spectrometry technique,element,component,category,character",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.881957494,haproxy,",load,balancer,reliable,performance,haproxy,tcp/http",",scalable,reliable,able",",word,word,certificate animal,application,factor,factor,parameter,challenge,issue,feature,feature,feature,non functional requirement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.441236938,amazoncorretto,",open,development,openjdk,distribution,java,corretto,nocost,productionready,kit",\N,",language,java development package,topic,issue,programming language,area,java runtime,activity,service,technology,third-party jre,implementation,standard java gss api org ietf jgss documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.407346599,.NET Core Runtime Dependencies,",core,net,runtime,dependencies",",mage,ci",",class,token element,computational cost,equipment,issue,component,feature,solution concept,item,fabric,factor,factor,task characteristic estimation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.187929245,Ospo Ghcrawler Dashboard,",application,control,crawler,dashboard,ghcrawler",",application,app",",factor,topic,tool,issue,technology,bait,factor,information,information,topic,feature,application,document",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.127701311,django,",free,web,framework,python,application,written,django",",application,app",",language,graphic organizer,framework,component,open source software component,factor,factor,web framework,information,information,topic,topic,technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045830868,php-zendserver,",server,web,platform,application,zend,integrated,php,mobile,apps",",application,app",",gene,technology,framework,resource,language,graphic organizer,endocytosed surface protein,structure,technology,technology,factor,factor,product",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.267301175,AI for Earth Base Python,",base,python,ai,earth,default,cuda,92",",mage,ci",",class,graphic format,musician,programming model,administrative duty,port,planet,language,language,inert material,absorbent material,element,datum parallel language",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.967234449,Heartbeat,",lightweight,shipper,uptime,monitoring",",shipper,ship,ip",",information,person,protocol,vehicle,feature,advantage,activity,structure,system information,performance measure,application,factor,issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
